Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.109533	Node10001	0	9	LastDelay	0.0995328	99532.8	1	5
0.109533	Node10001	0	9	FullDelay	0.0995328	99532.8	1	5
0.119533	Node10001_	0	15	LastDelay	0.0995328	99532.8	1	5
0.119533	Node10001_	0	15	FullDelay	0.0995328	99532.8	1	5
0.129533	Node10010	0	1	LastDelay	0.0995328	99532.8	1	5
0.129533	Node10010	0	1	FullDelay	0.0995328	99532.8	1	5
0.129533	Node10100	0	1	LastDelay	0.0695328	69532.8	1	5
0.129533	Node10100	0	1	FullDelay	0.0695328	69532.8	1	5
0.139533	Node10011	0	98	LastDelay	0.0995328	99532.8	1	5
0.139533	Node10011	0	98	FullDelay	0.0995328	99532.8	1	5
0.149533	Node10000	0	27	LastDelay	0.0995328	99532.8	1	5
0.149533	Node10000	0	27	FullDelay	0.0995328	99532.8	1	5
0.150389	Node10011_	0	74	LastDelay	0.100389	100389	1	5
0.150389	Node10011_	0	74	FullDelay	0.100389	100389	1	5
0.150883	Node10101_	0	1	LastDelay	0.0208832	20883.2	1	1
0.150883	Node10101_	0	1	FullDelay	0.0208832	20883.2	1	1
0.159546	Node10001	0	6	LastDelay	0.0995464	99546.4	1	5
0.159546	Node10001	0	6	FullDelay	0.0995464	99546.4	1	5
0.169533	Node10001_	0	54	LastDelay	0.0995328	99532.8	1	5
0.169533	Node10001_	0	54	FullDelay	0.0995328	99532.8	1	5
0.169961	Node10101	0	4	LastDelay	0.0999608	99960.8	1	5
0.169961	Node10101	0	4	FullDelay	0.0999608	99960.8	1	5
0.170389	Node10011	0	4	LastDelay	0.0803888	80388.8	1	5
0.170389	Node10011	0	4	FullDelay	0.0803888	80388.8	1	5
0.170883	Node10000	0	9	LastDelay	0.0208832	20883.2	1	1
0.170883	Node10000	0	9	FullDelay	0.0208832	20883.2	1	1
0.179533	Node10010	0	14	LastDelay	0.0995328	99532.8	1	5
0.179533	Node10010	0	14	FullDelay	0.0995328	99532.8	1	5
0.179961	Node10101_	0	38	LastDelay	0.0999608	99960.8	1	5
0.179961	Node10101_	0	38	FullDelay	0.0999608	99960.8	1	5
0.180883	Node10100	0	1	LastDelay	0.0208832	20883.2	1	1
0.180883	Node10100	0	1	FullDelay	0.0208832	20883.2	1	1
0.183105	Node10111	0	9	LastDelay	0.0831048	83104.8	1	4
0.183105	Node10111	0	9	FullDelay	0.0831048	83104.8	1	4
0.189533	Node10110	0	43	LastDelay	0.0995328	99532.8	1	5
0.189533	Node10110	0	43	FullDelay	0.0995328	99532.8	1	5
0.199533	Node10000	0	11	LastDelay	0.0995328	99532.8	1	5
0.199533	Node10000	0	11	FullDelay	0.0995328	99532.8	1	5
0.200389	Node10011_	0	78	LastDelay	0.100389	100389	1	5
0.200389	Node10011_	0	78	FullDelay	0.100389	100389	1	5
0.203105	Node10101	0	15	LastDelay	0.0831048	83104.8	1	4
0.203105	Node10101	0	15	FullDelay	0.0831048	83104.8	1	4
0.209533	Node10100	0	2	LastDelay	0.0995328	99532.8	1	5
0.209533	Node10100	0	2	FullDelay	0.0995328	99532.8	1	5
0.209961	Node10001	0	3	LastDelay	0.0999608	99960.8	1	5
0.209961	Node10001	0	3	FullDelay	0.0999608	99960.8	1	5
0.210389	Node10111_	0	21	LastDelay	0.100389	100389	1	5
0.210389	Node10111_	0	21	FullDelay	0.100389	100389	1	5
0.219533	Node20000	0	10	LastDelay	0.0995328	99532.8	1	5
0.219533	Node20000	0	10	FullDelay	0.0995328	99532.8	1	5
0.219533	Node10001	0	12	LastDelay	0.0595328	59532.8	1	5
0.219533	Node10001	0	12	FullDelay	0.0595328	59532.8	1	5
0.219533	Node10001_	0	12	LastDelay	0.0995328	99532.8	1	5
0.219533	Node10001_	0	12	FullDelay	0.0995328	99532.8	1	5
0.219533	Node10111	0	12	LastDelay	0.0695328	69532.8	1	5
0.219533	Node10111	0	12	FullDelay	0.0695328	69532.8	1	5
